taxid	gcode	name	superkingdom	phylum	class	order	family	genus	species
523841	11	Haloferax mediterranei ATCC 33500	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei
1175296	11	Methanomassiliicoccus luminyensis B10	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Methanomassiliicoccus luminyensis
1220534	11	Methanobacterium sp. Maddingley MBC34	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. Maddingley MBC34
1056495	11	Caldisphaera lagunensis DSM 15908	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis
1214066	11	Methanobrevibacter boviskoreani JH1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter boviskoreani
593750	11	Methanoregula formicica SMSP	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula formicica
673860	11	Aciduliprofundum sp. MAR08-339	Archaea	Euryarchaeota	NA	NA	NA	Aciduliprofundum	Aciduliprofundum sp. MAR08-339
1243180	11	Haloferax sp. BAB2207	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax sp. BAB2207
797302	11	Halovivax ruber XH-70	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halovivax	Halovivax ruber
867904	11	Methanomethylovorans hollandica DSM 15978	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans	Methanomethylovorans hollandica
694430	11	Natronococcus occultus SP4	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronococcus	Natronococcus occultus
1232219	11	Halococcus agarilyticus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus agarilyticus
1227452	11	Haloarcula amylolytica JCM 13557	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula amylolytica
